"","country","country_name","iso2c","year","b","se","pop.dens","gov.exp","trade","gdp.growth","gdppc","fem.lab","pop","non.agri","net100hab","bb100hab","mobile100hab","fixed100hab"
"58","AUS","Australia","AU",2000,-0.81657556134396,0.102223060581882,2.49313356677037,17.7870981110444,41.0290111758291,3.93309702604363,38652.0149904623,43.6304715385082,19153000,96.8809318182162,46.7561156116738,NA,45.0834905489744,52.9186031321178
"59","AUS","Australia","AU",2001,-0.823787095810917,0.102761632462921,2.52697759785481,17.783157888765,44.3652083634724,1.93088254446003,38870.6746015073,43.9399792565578,19413000,96.4966400308624,52.6892664310395,0.639760866973919,57.9952603514142,52.4103772130099
"60","AUS","Australia","AU",2002,-0.824599448254607,0.102970378690808,2.55800997097223,17.5442457636894,41.5572758742756,4.00137703160961,39935.6103540542,44.0582859896895,19651400,96.0519878608371,NA,1.33031856310339,65.3046733611774,53.6044674787881
"61","AUS","Australia","AU",2003,-0.825245319816609,0.103243948573837,2.58977129245148,17.5953855373552,40.2961446264483,2.9859404859405,40623.6635181384,44.442263328361,19895400,97.1114662405114,NA,2.63348771101916,73.1088393769192,53.3016282067732
"62","AUS","Australia","AU",2004,-0.825723916660677,0.103582972023266,2.61997058172683,17.4953747739649,37.1207343685942,4.05555187381954,41783.9353399501,44.3391321505404,20127400,96.9378855080896,NA,5.09063313944829,82.8988479625571,52.163898869643
"63","AUS","Australia","AU",2005,-0.826031338982126,0.103985581791684,2.65477786600367,17.5615885581832,39.2711826369216,3.20416012202685,42557.3690467716,44.6706752898699,20394800,97.1166699733621,63,9.99081202108775,91.285097930772,50.1522905026825
"64","AUS","Australia","AU",2006,-0.826163291628872,0.104452294437175,2.69423219608711,17.4798028963399,41.6042270907138,2.7945833156557,43106.0440441998,44.8310881951255,20697900,97.2732655580422,66,19.0000118384689,96.2667266482425,48.4256711985592
"65","AUS","Australia","AU",2007,-0.824154221313195,0.104760150038003,2.71111516082423,17.3439365061251,42.0514396834877,3.84430955287924,44484.4194851763,44.9308153589101,20827600,97.7988998640705,69.45,NA,101.643002237867,46.66207440459
"66","AUS","Australia","AU",2008,-0.82209841991245,0.105082339786565,2.76599455892116,17.2426533980343,42.8703326982714,3.65791265061549,45196.7316956469,45.0486098721578,21249200,97.6613695763149,71.67,24.9152903566529,103.692610101442,43.9240396315781
"67","AUS","Australia","AU",2009,-0.820006606850991,0.105416897077918,2.82359449643987,17.5915470045114,45.7979042094362,1.93692176952554,45132.3077113629,45.1950868214004,21691700,97.7082796027441,74.25,24.0036585235217,102.064972078564,49.234855224745
"68","AUS","Australia","AU",2010,-0.817870374704251,0.105764424826682,2.86785858401781,17.9990024677012,40.6496717288741,2.06746567730687,45354.4042289747,45.0879997757739,22031750,97.8024317347456,76,24.8705927989297,101.558682028298,47.9582665133627
"69","AUS","Australia","AU",2011,-0.81569444714959,0.106122438495275,2.90798641031983,17.8107497977583,41.9067330593482,2.46278617259068,45830.119227372,45.2855100803646,22340024,97.723457633723,79.4876977139029,24.6339504554996,105.550620926852,46.9118800731263
"70","AUS","Australia","AU",2012,-0.813764442257474,0.105877286759556,2.95920036968095,17.9862323586256,43.2103466719308,3.91816177220686,46801.5722464225,45.4364108097111,22733465,97.7452519510383,79,25.0393512943707,106.261156373565,45.717009137464
